subj,dataset,analysis,split_num,splitA,splitB,condition,pearsonr
humanvshuman,cue-conflict,humanvshuman_splithalves,29,['subject-01' 'subject-02' 'subject-04' 'subject-06' 'subject-10'],['subject-03' 'subject-05' 'subject-07' 'subject-08' 'subject-09'],0,0.7160103985745732
humanvshuman,cue-conflict,humanvshuman_splithalves,30,['subject-01' 'subject-02' 'subject-04' 'subject-07' 'subject-08'],['subject-03' 'subject-05' 'subject-06' 'subject-09' 'subject-10'],0,0.7033137295766023
humanvshuman,cue-conflict,humanvshuman_splithalves,31,['subject-01' 'subject-02' 'subject-04' 'subject-07' 'subject-09'],['subject-03' 'subject-05' 'subject-06' 'subject-08' 'subject-10'],0,0.7285491629582737
humanvshuman,cue-conflict,humanvshuman_splithalves,32,['subject-01' 'subject-02' 'subject-04' 'subject-07' 'subject-10'],['subject-03' 'subject-05' 'subject-06' 'subject-08' 'subject-09'],0,0.7051620439892329
humanvshuman,cue-conflict,humanvshuman_splithalves,33,['subject-01' 'subject-02' 'subject-04' 'subject-08' 'subject-09'],['subject-03' 'subject-05' 'subject-06' 'subject-07' 'subject-10'],0,0.7184759617630259
humanvshuman,cue-conflict,humanvshuman_splithalves,34,['subject-01' 'subject-02' 'subject-04' 'subject-08' 'subject-10'],['subject-03' 'subject-05' 'subject-06' 'subject-07' 'subject-09'],0,0.7103108589519366
humanvshuman,cue-conflict,humanvshuman_splithalves,35,['subject-01' 'subject-02' 'subject-04' 'subject-09' 'subject-10'],['subject-03' 'subject-05' 'subject-06' 'subject-07' 'subject-08'],0,0.7307401823065018
humanvshuman,cue-conflict,humanvshuman_splithalves,36,['subject-01' 'subject-02' 'subject-05' 'subject-06' 'subject-07'],['subject-03' 'subject-04' 'subject-08' 'subject-09' 'subject-10'],0,0.71307970793786
humanvshuman,cue-conflict,humanvshuman_splithalves,37,['subject-01' 'subject-02' 'subject-05' 'subject-06' 'subject-08'],['subject-03' 'subject-04' 'subject-07' 'subject-09' 'subject-10'],0,0.729426448924862
humanvshuman,cue-conflict,humanvshuman_splithalves,38,['subject-01' 'subject-02' 'subject-05' 'subject-06' 'subject-09'],['subject-03' 'subject-04' 'subject-07' 'subject-08' 'subject-10'],0,0.7307230613570979
humanvshuman,cue-conflict,humanvshuman_splithalves,39,['subject-01' 'subject-02' 'subject-05' 'subject-06' 'subject-10'],['subject-03' 'subject-04' 'subject-07' 'subject-08' 'subject-09'],0,0.7355677015422624
humanvshuman,cue-conflict,humanvshuman_splithalves,40,['subject-01' 'subject-02' 'subject-05' 'subject-07' 'subject-08'],['subject-03' 'subject-04' 'subject-06' 'subject-09' 'subject-10'],0,0.7247768331636116
humanvshuman,cue-conflict,humanvshuman_splithalves,41,['subject-01' 'subject-02' 'subject-05' 'subject-07' 'subject-09'],['subject-03' 'subject-04' 'subject-06' 'subject-08' 'subject-10'],0,0.7334857428137707
humanvshuman,cue-conflict,humanvshuman_splithalves,42,['subject-01' 'subject-02' 'subject-05' 'subject-07' 'subject-10'],['subject-03' 'subject-04' 'subject-06' 'subject-08' 'subject-09'],0,0.7251146294662012
humanvshuman,cue-conflict,humanvshuman_splithalves,43,['subject-01' 'subject-02' 'subject-05' 'subject-08' 'subject-09'],['subject-03' 'subject-04' 'subject-06' 'subject-07' 'subject-10'],0,0.7402222348404717
humanvshuman,cue-conflict,humanvshuman_splithalves,44,['subject-01' 'subject-02' 'subject-05' 'subject-08' 'subject-10'],['subject-03' 'subject-04' 'subject-06' 'subject-07' 'subject-09'],0,0.7473844440563444
humanvshuman,cue-conflict,humanvshuman_splithalves,45,['subject-01' 'subject-02' 'subject-05' 'subject-09' 'subject-10'],['subject-03' 'subject-04' 'subject-06' 'subject-07' 'subject-08'],0,0.7512578954594701
