condition,avg_split_half_corr,adj_corr_mean,adj_corr_sem,adj_corr_lower_ci,adj_corr_upper_ci
c01,-0.026109082887800384,-0.053621112849924046,0.0017625712323843601,-0.061204844774226504,-0.04603738092562159
c03,0.3206306297678992,0.4814158376128977,0.05532208735487617,0.24338410744295133,0.719447567782844
c05,0.634320975425928,0.7760971199190888,0.009664138191696023,0.7345156893484271,0.8176785504897505
c10,0.6022364377291257,0.7516569229671317,0.007404554487743844,0.7197976963882569,0.7835161495460066
c15,0.6129401835434533,0.7599136806551391,0.008460320724084317,0.7235118585975528,0.7963155027127253
c30,0.646709382943545,0.7852075703220286,0.01224459913788803,0.7325233124173597,0.8378918282266975
c50,0.602092266790608,0.7503639431521606,0.02843250464447096,0.6280287494315294,0.8726991368727918
c100,0.6126209056201938,0.7584967012789919,0.027948463805788235,0.6382441671942034,0.8787492353637805
